	Autor	Werk	year	vis_id
151	Knigge, Adolph Freiherr von	Benjamin Noldmanns Geschichte der Aufklärung in Abyssinien	1791	KniggeAdolphFreiherrvon_BenjaminNoldmannsGeschichtederAufklärunginAbyssinien
152	Knigge, Adolph Freiherr von	Die Reise nach Braunschweig	1792	KniggeAdolphFreiherrvon_DieReisenachBraunschweig
153	Knigge, Adolph Freiherr von	Josephs von Wurmbrands ... politisches Glaubensbekenntnis	1792	KniggeAdolphFreiherrvon_JosephsvonWurmbrands...politischesGlaubensbekenntnis
154	Kurz, Hermann	Der Sonnenwirt	1854	KurzHermann_DerSonnenwirt
156	La Roche, Sophie von	Erscheinungen am See Oneida	1798	LaRocheSophievon_ErscheinungenamSeeOneida
155	La Roche, Sophie von	Rosaliens Briefe an ihre Freundin Mariane von St**	1779	LaRocheSophievon_RosaliensBriefeanihreFreundinMarianevonSt**
157	Laube, Heinrich	Das junge Europa	1833	LaubeHeinrich_DasjungeEuropa
158	Lermontov, Michail 	Ein Held unserer Zeit	1840	LermontovMichail_EinHeldunsererZeit
159	Lewald, Fanny	Clementine	1842	LewaldFanny_Clementine
162	Lewald, Fanny	Diogena	1847	LewaldFanny_Diogena
161	Lewald, Fanny	Eine Lebensfrage	1845	LewaldFanny_EineLebensfrage
160	Lewald, Fanny	Jenny	1843	LewaldFanny_Jenny
163	Lewald, Fanny	Von Geschlecht zu Geschlecht	1864	LewaldFanny_VonGeschlechtzuGeschlecht
164	Liebeskind, Margareta Sophia	Maria	1784	LiebeskindMargaretaSophia_Maria
165	Liliencron, Detlev von	Leben und Lüge	1908	LiliencronDetlevvon_LebenundLüge
167	Ludwig, Otto	Die Heiteretei und ihr Widerspiel	1857	LudwigOtto_DieHeitereteiundihrWiderspiel
166	Ludwig, Otto	Zwischen Himmel und Erde	1856	LudwigOtto_ZwischenHimmelundErde
168	Manzoni, Alessandro	Die Verlobten	1827	ManzoniAlessandro_DieVerlobten
170	Marlitt, Eugenie	Das Geheimnis der alten Mamsell	1867	MarlittEugenie_DasGeheimnisderaltenMamsell
171	Marlitt, Eugenie	Das Heideprinzeßchen	1871	MarlittEugenie_DasHeideprinzeßchen
172	Marlitt, Eugenie	Die Frau mit den Karfunkelsteinen	1885	MarlittEugenie_DieFraumitdenKarfunkelsteinen
169	Marlitt, Eugenie	Goldelse	1866	MarlittEugenie_Goldelse
173	Meinhold, Wilhelm	Die Bernsteinhexe	1843	MeinholdWilhelm_DieBernsteinhexe
174	Meisel-Hess, Grete	Die Intellektuellen	1911	Meisel-HessGrete_DieIntellektuellen
176	Mereau, Sophie	Amanda und Eduard	1803	MereauSophie_AmandaundEduard
175	Mereau, Sophie	Das Blüthenalter der Empfindung	1794	MereauSophie_DasBlüthenalterderEmpfindung
177	Meyer, Conrad Ferdinand	Jürg Jenatsch	1876	MeyerConradFerdinand_JürgJenatsch
178	Meyrink, Gustav	Der Golem	1913	MeyrinkGustav_DerGolem
179	Meysenbug, Malwida Freiin von	Himmlische und irdische Liebe	1905	MeysenbugMalwidaFreiinvon_HimmlischeundirdischeLiebe
180	Miller, Johann Martin	Siegwart. Eine Klostergeschichte	1776	MillerJohannMartin_Siegwart.EineKlostergeschichte
